year,weighted_mean,min,max
1950, 61.7, 59.6, 64
1951, 62.3, 60, 64.1
1952, 61.8, 59.3, 64.8
1953, 61.8, 59.4, 63.7
1954, 61.5, 59, 65.7
1955, 61.6, 59.7, 63.2
1956, 61.9, 59.4, 65.6
1957, 61.6, 59.3, 64.8
1958, 62.1, 59.6, 63.9
1959, 61.5, 58.7, 63.2
1960, 62.2, 59.6, 65.2
1961, 62, 59.8, 65.9
1962, 61.7, 59.7, 63.9
1963, 61.6, 59, 64.2
1964, 61.2, 58, 63.6
1965, 61.4, 58.7, 63.4
1966, 62, 59.1, 64
1967, 62.1, 60.2, 64
1968, 62, 59.1, 64.9
1969, 62, 59.5, 66.3
1970, 61.7, 59.6, 63.4
1971, 61.7, 59.9, 64.1
1972, 62, 60.2, 63.8
1973, 62, 60.4, 63.5
1974, 62, 58.3, 64.7
1975, 61.9, 60.1, 64.4
1976, 61.8, 58.8, 65.3
1977, 61.8, 59.4, 64.4
1978, 62.2, 60.7, 64
1979, 62.4, 59.1, 64.3
1980, 62.3, 60.2, 65.9
1981, 62.8, 60.5, 64.9
1982, 62.6, 60.1, 65.1
1983, 61.8, 59.3, 64.4
1984, 61.9, 59.9, 64.3
1985, 62.5, 60.4, 66
1986, 62.4, 60.5, 64.8
1987, 62.4, 59.5, 64.9
1988, 62.4, 59.2, 64.4
1989, 62.9, 60.7, 65.2
1990, 62.7, 60.1, 65.8
1991, 63.1, 61.5, 66
1992, 62, 59.9, 64.1
1993, 62.1, 59.5, 64.2
1994, 62.8, 59.7, 65.9
1995, 63.1, 61.1, 65.1
1996, 62.9, 60.3, 64.4
1997, 63.2, 61.4, 65.2
1998, 62.9, 61.3, 65.2
1999, 63.4, 60.3, 65.6
2000, 63.5, 61.7, 67.2
2001, 63.3, 60, 65.8
2002, 63.9, 61.4, 66
2003, 63.5, 61.6, 65.7
2004, 63.2, 60.8, 66
2005, 63.6, 59.9, 66.1
2006, 63.5, 60.9, 65.4
