year,temp,co2
1950,60.8,1630
1951,62.6,1767
1952,63,1795
1953,64.6,1841
1954,62.6,1865
1955,62.5,2042
1956,60.8,2177
1957,62.8,2270
1958,59.3,2330
1959,62.6,2454
1960,61.1,2569
1961,61.8,2580
1962,60.8,2686
1963,61.3,2833
1964,62.3,2995
1965,61.9,3130
1966,62.7,3288
1967,61.1,3393
1968,62.1,3566
1969,61.8,3780
1970,61.9,4053
1971,62.3,4208
1972,61.1,4376
1973,63.8,4614
1974,62.7,4623
1975,62.6,4596
1976,61.7,4864
1977,61.7,5026
1978,60.2,5087
1979,62,5369
1980,61.8,5315
1981,61.8,5152
1982,62.1,5113
1983,63.4,5094
1984,62,5280
1985,62.5,5439
1986,62.4,5607
1987,62.5,5752
1988,62.1,5965
1989,61.3,6097
1990,65.4,6127
1991,65.7,6217
1992,61.7,6164
1993,63.7,6162
1994,63.5,6266
1995,63.1,6398
1996,60.9,6542
1997,61.9,6651
1998,64.3,6643
1999,64.1,6610
2000,61.1,6765
2001,63.7,6927
2002,64,6996
2003,60.5,7416
2004,61.7,7807
2005,63.1,8093
2006,64.4,8370
2007,62.9,8566
2008,63.1,8783
2009,61.3,8740
2010,64.2,9167
