"olives","33.970","sparkling burgundy"
"fruit","16.579","cornedbeef"
"apollinaris","11.622","teal duck"
"mashed potatoes","9.165","baked potato"
"cigars","8.992","bonbons"
"ice cream","8.453","pies"
"cucumbers","8.097","sparkling burgundy"
"roquefort cheese","7.993","fried smelts"
"cup custard","7.811","dindonneau"
"raisins","7.254","comice pear"
"lettuce","7.184","english muffins"
"tomato juice","6.599","mumm's extra dry"
"cream cheese","6.292","amandes salees"
"chicken","6.205","strained honey"
"vanilla ice cream","6.197","spaghetti"
"stewed prunes","5.868","boiled new potatoes"
"little neck clams","5.663","fried clams"
"apple pie","5.500","corn muffins"
"little necks","5.382","parisienne potatoes"
"roquefort","5.217","sliced peaches"
"sardines","5.207","stilton"
"brussels sprouts","4.929","clysmic"
"ripe olives","4.922","westphalían ham"
"shrimp salad","4.902","mongole"
"cafe parfait","4.828","chicken a la king"
"dry toast","4.644","drambuie"
"american cheese","4.614","roast beef sandwich"
"orange juice","4.393","roast potatoes"
"grapefruit","4.383","tee"
"rice pudding","4.316","crab meat salad"
"mince pie","4.219","tea, pot"
"caviar","4.180","fried parsnips"
"oatmeal","4.178","julienne soup"
"plums","4.123","roast prime ribs of beef"
"broiled ham","4.090","gin rickey"
"ham sandwich","4.032","whitebait"
"boiled potatoes","3.831","squab"
"maraschino","3.743","hashed browned potatoes"
"cucumber salad","3.688","potatoes parisienne"
"chow chow","3.616","fried hominy"
"creme de menthe","3.609","cognac"
"camembert","3.581","fresh fruit"
"radishes","3.576","tomato salad"
"tomato salad","3.391","horlick's malted milk"
"boiled eggs","3.390","coca cola"
"baked apple with cream","3.347","corn flakes"
"cafe noir","3.212","chianti"
"waldorf salad","3.125","pink lady"
"sanka","3.038","lettuce and tomato"
"candied sweet potatoes","2.874","buttered new beets"
"roast mutton","2.787","halibut"
"anisette","2.761","lamb chops (2)"
"cantaloupe","2.691","assorted cold cuts"
"red leg partridge","2.690","potatoes, au gratin"
"green turtle soup","2.667","banana"
