SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG
Atlantic City High School,1,110,10,ATLANTIC,ATLANTIC CITY,524,526,1050
Atlantic County Institute of Technology,1,120,10,ATLANTIC,ATLANTIC CO VOCATIONAL,528,530,1058
BUENA REGIONAL HIGH SCHOOL,1,590,25,ATLANTIC,BUENA REGIONAL,538,528,1066
EGG HARBOR TOWNSHIP HIGH SCHOOL,1,1310,5,ATLANTIC,EGG HARBOR TWP,550,553,1103
Absegami High School,1,1790,40,ATLANTIC,GREATER EGG HARBOR REG,542,543,1085
Cedar Creek High School,1,1790,60,ATLANTIC,GREATER EGG HARBOR REG,544,549,1093
Oakcrest High School,1,1790,50,ATLANTIC,GREATER EGG HARBOR REG,509,518,1027
Hammonton High School,1,1960,50,ATLANTIC,HAMMONTON TOWN,563,554,1117
MAINLAND REGIONAL HIGH SCHOOL,1,2910,50,ATLANTIC,MAINLAND REGIONAL,560,565,1125
PLEASANTVILLE HIGH SCHOOL,1,4180,50,ATLANTIC,PLEASANTVILLE CITY,458,453,911
Bergen County Academies,3,290,20,BERGEN,BERGEN COUNTY VOCATIONAL,748,722,1470
Bergen County Technical High School - Paramus,3,290,75,BERGEN,BERGEN COUNTY VOCATIONAL,453,461,914
Bergen County Technical High School - Teterboro,3,290,70,BERGEN,BERGEN COUNTY VOCATIONAL,678,656,1334
Bergenfield High School,3,300,20,BERGEN,BERGENFIELD BORO,538,537,1075
Bogota Jr./Sr. High School,3,440,20,BERGEN,BOGOTA BORO,523,535,1058
HENRY P. BECTON REGIONAL HIGH SCHOOL,3,745,50,BERGEN,CARLSTADT-EAST RUTHERFORD,521,531,1052
Cliffside Park High School,3,890,30,BERGEN,CLIFFSIDE PARK BORO,533,527,1060
Cresskill High School,3,990,40,BERGEN,CRESSKILL BORO,595,597,1192
Dumont High School,3,1130,40,BERGEN,DUMONT BORO,574,572,1146
Memorial Senior High School,3,1345,50,BERGEN,ELMWOOD PARK,499,516,1015
Emerson Jr Sr High,3,1360,50,BERGEN,EMERSON BORO,563,574,1137
Dwight Morrow High School/Academies@Englewood,3,1370,40,BERGEN,ENGLEWOOD CITY,523,529,1052
FAIR LAWN HIGH SCHOOL,3,1450,50,BERGEN,FAIR LAWN BORO,581,578,1159
Fort Lee High School,3,1550,50,BERGEN,FORT LEE BORO,588,589,1177
GARFIELD HIGH SCHOOL,3,1700,50,BERGEN,GARFIELD CITY,511,499,1010
GLEN ROCK HIGH SCHOOL,3,1760,50,BERGEN,GLEN ROCK BORO,619,610,1229
Hackensack High School,3,1860,50,BERGEN,HACKENSACK CITY,509,510,1019
Hasbrouck Heights High School,3,2080,50,BERGEN,HASBROUCK HEIGHTS BORO,548,558,1106
Leonia High School,3,2620,50,BERGEN,LEONIA BORO,580,595,1175
Lodi High School,3,2740,50,BERGEN,LODI BOROUGH,518,514,1032
Lyndhurst High School,3,2860,50,BERGEN,LYNDHURST TWP,554,549,1103
Mahwah High School,3,2900,50,BERGEN,MAHWAH TWP,609,594,1203
Midland Park Jr./Sr. High School,3,3170,50,BERGEN,MIDLAND PARK BORO,560,586,1146
NEW MILFORD HIGH SCHOOL,3,3550,50,BERGEN,NEW MILFORD BORO,543,544,1087
North Arlington High School,3,3600,50,BERGEN,NORTH ARLINGTON BORO,536,534,1070
Northern Highlands Regional High School,3,3700,50,BERGEN,NORTHERN HIGHLANDS REG,624,624,1248
NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,3,3710,50,BERGEN,NORTHERN VALLEY REGIONAL,638,625,1263
Northern Valley Regional High School at Old Tappan,3,3710,60,BERGEN,NORTHERN VALLEY REGIONAL,607,607,1214
Palisades Park Jr-Sr High School,3,3910,50,BERGEN,PALISADES PARK,550,550,1100
Paramus High School,3,3930,50,BERGEN,PARAMUS BORO,571,570,1141
Park Ridge High School,3,3940,50,BERGEN,PARK RIDGE BORO,582,573,1155
PASCACK HILLS HIGH SCHOOL,3,3960,40,BERGEN,PASCACK VALLEY REGIONAL,601,598,1199
PASCACK VALLEY HIGH SCHOOL,3,3960,50,BERGEN,PASCACK VALLEY REGIONAL,590,587,1177
INDIAN HILLS HIGH SCHOOL,3,4300,30,BERGEN,RAMAPO-INDIAN HILL REG,587,606,1193
RAMAPO HIGH SCHOOL,3,4300,50,BERGEN,RAMAPO-INDIAN HILL REG,623,616,1239
RAMSEY HIGH SCHOOL,3,4310,50,BERGEN,RAMSEY BORO,599,609,1208
Ridgefield Memorial High School,3,4370,50,BERGEN,RIDGEFIELD BORO,577,560,1137
Ridgefield Park Jr Sr High School,3,4380,50,BERGEN,RIDGEFIELD PARK TWP,511,515,1026
Ridgewood High School,3,4390,50,BERGEN,RIDGEWOOD VILLAGE,641,631,1272
River Dell Regional High School,3,4405,50,BERGEN,RIVER DELL REGIONAL,605,596,1201
Rutherford High School,3,4600,50,BERGEN,RUTHERFORD BORO,563,567,1130
SADDLE BROOK MIDDLE/HIGH SCHOOL,3,4610,50,BERGEN,SADDLE BROOK TWP,517,537,1054
Teaneck High School,3,5150,50,BERGEN,TEANECK TWP,537,545,1082
TENAFLY HIGH SCHOOL,3,5160,50,BERGEN,TENAFLY BORO,672,653,1325
Waldwick High School,3,5410,30,BERGEN,WALDWICK BORO,569,561,1130
WALLINGTON JUNIOR SENIOR HIGH SCHOOL,3,5430,50,BERGEN,WALLINGTON BORO,541,542,1083
WESTWOOD JUNIOR/SENIOR HIGH SCHOOL,3,5755,50,BERGEN,WESTWOOD REGIONAL,575,570,1145
Wood-Ridge Jr/Sr High School,3,5830,50,BERGEN,WOOD-RIDGE BORO,563,557,1120
Bordentown Regional High School,5,475,50,BURLINGTON,BORDENTOWN REGIONAL,547,546,1093
Burlington City High School,5,600,20,BURLINGTON,BURLINGTON CITY,496,497,993
BURLINGTON COUNTY INST OF TECH - Medford,5,610,40,BURLINGTON,BURLINGTON CO VOCATIONAL,497,509,1006
BURLINGTON COUNTY INST OF TECH - Westhampton,5,610,30,BURLINGTON,BURLINGTON CO VOCATIONAL,488,496,984
Burlington Township High School,5,620,10,BURLINGTON,BURLINGTON TWP,537,540,1077
CINNAMINSON HIGH SCHOOL,5,840,30,BURLINGTON,CINNAMINSON TWP,553,564,1117
Delran High School,5,1060,5,BURLINGTON,DELRAN TWP,549,543,1092
Florence Township Memorial High School,5,1520,50,BURLINGTON,FLORENCE TWP,538,546,1084
Cherokee High School,5,2610,40,BURLINGTON,LENAPE REGIONAL,585,573,1158
Lenape High School,5,2610,50,BURLINGTON,LENAPE REGIONAL,590,576,1166
Seneca High School,5,2610,70,BURLINGTON,LENAPE REGIONAL,554,569,1123
Shawnee High School,5,2610,60,BURLINGTON,LENAPE REGIONAL,583,588,1171
Maple Shade High School,5,3010,30,BURLINGTON,MAPLE SHADE TWP,539,534,1073
Moorestown High School,5,3360,40,BURLINGTON,MOORESTOWN TWP,601,601,1202
Northern Burlington County Regional High School,5,3690,50,BURLINGTON,NORTHERN BURLINGTON REG,566,578,1144
Palmyra High School,5,3920,50,BURLINGTON,PALMYRA BORO,513,524,1037
Pemberton Township High School,5,4050,55,BURLINGTON,PEMBERTON TWP,504,525,1029
Rancocas Valley Regional High School,5,4320,50,BURLINGTON,RANCOCAS VALLEY REGIONAL,567,560,1127
RIVERSIDE HIGH SCHOOL,5,4450,50,BURLINGTON,RIVERSIDE TWP,504,512,1016
WILLINGBORO HIGH SCHOOL,5,5805,53,BURLINGTON,WILLINGBORO TWP,458,468,926
Audubon Junior/Senior High School,7,150,10,CAMDEN,AUDUBON BORO,536,551,1087
Highland Regional High School,7,390,20,CAMDEN,BLACK HORSE PIKE REGIONAL,538,537,1075
Timber Creek Regional High School,7,390,30,CAMDEN,BLACK HORSE PIKE REGIONAL,529,532,1061
